Quarter: 11/04/2025 - 11/07/2025
"Order_ID","Member_Name","Transaction_Date","Transaction_Amount","Merchant_Name","Order_Status"
"622af23a-5b28-44b7-92df-4374f12e854c","Mandy","11-04-2025 12:03:00 AM","294.21","Jessie Western","D"
"37f9f1c5-35b1-4abb-b685-615b3be00767","Mandy","11-04-2025 05:46:48 AM","364.00","Jessie Western","D"
"23b28e46-6c43-4993-9050-e0a56a7a2313","Yeoh Zhe Heng","11-04-2025 10:49:35 AM","145.02","Penang Range","D"
"70c68d78-0448-4458-a37f-6f989b537e86","Mandy","11-04-2025 11:55:45 AM","279.62","Korean Mix","D"
"bfbaaf32-a2c5-4d76-82a1-5b463b231bec","Mandy","11-04-2025 07:14:40 PM","275.45","4F Mongo Japanese","D"
"50757680-aadb-444d-9fca-437693d5667f","Wong PuJin","12-04-2025 02:34:02 AM","84.28","Masakan Malaysia","D"
"e9f68c84-f924-487a-ac9b-6dd374e222dd","Kenny Tan","12-04-2025 04:46:57 AM","383.00","Jessie Western","D"
"453b5991-fed3-4246-9a71-fe9bf5f2aecb","Wai Kit","12-04-2025 05:05:04 AM","116.48","Penang Range","D"
"c60938ef-d004-408a-9acf-9c4844fe1ba5","Yeoh Zhe Heng","12-04-2025 05:17:20 AM","300.69","Jessie Western","D"
"357dac51-134a-48ef-9657-e48c9980c9ed","Kenny Tan","12-04-2025 06:11:47 AM","157.72","Masakan Malaysia","D"
"abb1d598-3c20-4368-8ad5-ee472f0ec6f8","Mandy","12-04-2025 09:38:52 AM","146.11","Penang Range","D"
"1db3fcbe-6e89-440a-ba3c-dfdb2932c566","Gandy","12-04-2025 10:47:01 AM","178.90","Korean Mix","D"
"70013b30-5bfc-4845-a394-692d777960e7","Wai Kit","12-04-2025 09:48:35 PM","279.69","4F Mongo Japanese","D"
"2b36ecb8-1d32-4351-97ba-fb513ffbea73","Mandy","12-04-2025 10:55:27 PM","197.51","Penang Range","D"
"4e2ec280-600d-4367-a9b3-66e668d1ca66","Mandy","13-04-2025 12:27:15 AM","25.40","Masakan Malaysia","D"
"a43049a6-8699-44aa-a88f-b179f35fc217","Jolin Moly","13-04-2025 11:23:02 AM","110.18","Penang Range","D"
"8be2fd23-a926-4247-98cc-3eb88053e24b","Candy","13-04-2025 12:13:07 PM","99.50","Penang Range","D"
"1f2cf176-ccbd-46ec-b81e-2476d9b420d6","Mandy","13-04-2025 05:07:13 PM","397.55","Jessie Western","D"
"6e6665ab-f04b-4745-b2be-7d4637026a86","Wai Kit","13-04-2025 08:44:00 PM","183.93","Korean Mix","D"
"ed65b7fa-4321-4240-a164-d042b7846cd8","Wong PuJin","13-04-2025 09:26:18 PM","115.17","Masakan Malaysia","D"
"1759eb33-2af3-48b4-966d-ed3aca4728a4","Mandy","13-04-2025 11:04:45 PM","75.62","Masakan Malaysia","D"
"bb80557c-a429-4174-a3ef-138b127d0045","Jolin Moly","14-04-2025 05:50:55 AM","19.06","Masakan Malaysia","D"
"0f76d8ca-13e3-4d6f-aa8c-058b98007b3b","Wai Kit","14-04-2025 07:01:20 AM","161.73","Masakan Malaysia","D"
"2fc0816e-d56f-46e4-a207-726dd036becb","Mandy","15-04-2025 08:26:22 AM","433.37","4F Mongo Japanese","D"
"93c6494b-2056-4bae-99ea-e32026bd6e7d","Wong PuJin","15-04-2025 11:45:36 AM","181.07","Masakan Malaysia","D"
"0adb9071-d8c4-40c4-8511-e05b69adb89d","Wai Kit","15-04-2025 01:56:03 PM","398.39","Jessie Western","D"
"1c281337-73fc-47f9-a60f-84bb77608d0e","Wong PuJin","16-04-2025 02:56:08 AM","288.72","Korean Mix","D"
"c55ebbae-fdef-44cf-9d80-e481a99fc422","Mandy","16-04-2025 04:30:36 AM","343.21","Korean Mix","D"
"a4727346-1f25-467a-be5c-1589923701fc","Gandy","16-04-2025 07:01:34 PM","153.49","Masakan Malaysia","D"
"e336d66e-836a-490c-b174-16ca080fd5a6","Mandy","16-04-2025 09:13:56 PM","270.14","4F Mongo Japanese","D"
"8c4d6ab8-9f33-4efa-b60d-3a868153b549","Kenny Tan","16-04-2025 11:58:51 PM","86.53","Masakan Malaysia","D"
"6011fb42-9671-4bff-a1b7-4a7482aaf2fb","Yeoh Zhe Heng","17-04-2025 01:09:20 AM","197.00","4F Mongo Japanese","D"
"ee82d3c0-4ac1-4fcb-a555-0a0c2b1aa009","Gandy","17-04-2025 02:31:22 AM","131.45","Masakan Malaysia","D"
"c7c4c950-dd22-4d93-975a-74fb6dc15e49","Kenny Tan","17-04-2025 04:54:52 AM","364.44","4F Mongo Japanese","D"
"e6a64a30-19b6-40ca-a7bf-12e45bcb678f","Yeoh Zhe Heng","17-04-2025 12:26:23 PM","195.68","Korean Mix","D"
"f9b495b0-dd89-4d78-a7ed-f53b7bac2a8d","Mandy","17-04-2025 04:04:11 PM","84.37","Masakan Malaysia","D"
"dac1b029-5fbd-4d7c-8333-c43f069b58d5","Wong PuJin","17-04-2025 04:05:56 PM","324.12","Jessie Western","D"
"0d960ce2-6c2a-471e-94de-d3295cd4800e","Kenny Tan","17-04-2025 09:29:34 PM","142.92","Penang Range","D"
"71c0a796-dc97-428e-8b6d-96cb37c29106","Candy","18-04-2025 04:46:58 AM","365.09","Jessie Western","D"
"b516fb65-bab3-417c-90ab-871f703cee27","Wai Kit","18-04-2025 06:16:39 AM","370.74","Jessie Western","D"
"58c5f52d-0670-424d-b969-d3d743b6551f","Mandy","18-04-2025 07:43:14 AM","370.79","4F Mongo Japanese","D"
"282c3038-bbd2-4624-b617-a4ac26fdde38","Jolin Moly","18-04-2025 12:50:57 PM","420.64","4F Mongo Japanese","D"
